Agency Name,Cost Pool,Fiscal Month,Cost,Fiscal Month (date),Fiscal & Calendar Month,Fiscal Year
Dept of Services for the Blind,Software,Aug-2024,162,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Senate,Telecom,Aug-2024,162,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Dept of Financial Institutions,Other,Nov-2024,162,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Employment Security Department,Telecom,Jul-2024,162,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Human Rights Commission,Telecom,Jul-2024,161,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
LEG Evaluation & Account Prog Comm,Telecom,Oct-2024,160,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of State LEG Labor Relations,Telecom,Oct-2024,160,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
LEG Evaluation & Account Prog Comm,Telecom,Sep-2024,160,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
LEG Evaluation & Account Prog Comm,Telecom,Jul-2024,160,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
LEG Evaluation & Account Prog Comm,Telecom,Aug-2024,160,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Labor and Industries,Other,Aug-2024,158,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington State Leadership Board,Telecom,Dec-2024,158,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Environmental and Land Use Hearings Offi,Other,Aug-2024,158,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Public Disclosure Commission,Other,Oct-2024,156,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Public Disclosure Commission,Other,Nov-2024,156,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
WA State Comm on Hispanic Affairs,Hardware,Dec-2024,155,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Bd for Vol Firefighter and Res Off,Hardware,Aug-2024,155,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington Horse Racing Commission,Software,Nov-2024,155,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Supreme Court,Software,Jan-2025,154,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Public Employment Relations Comm,Telecom,Jul-2024,154,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Governor's Office of Indian Affairs,Hardware,Aug-2024,152,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Governor's Office of Indian Affairs,Hardware,Sep-2024,152,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Governor's Office of Indian Affairs,Hardware,Feb-2025,152,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Governor's Office of Indian Affairs,Hardware,Mar-2025,152,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
State School for the Blind,External Labor,Jul-2024,150,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
House of Representatives,Telecom,Aug-2024,150,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
House of Representatives,Telecom,Mar-2025,150,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Workforce Train & Educ Coord Board,External Labor,Sep-2024,148,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Caseload Forecast Council,Hardware,Jul-2024,144,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Caseload Forecast Council,Hardware,Aug-2024,144,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Caseload Forecast Council,Hardware,Sep-2024,144,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Caseload Forecast Council,Hardware,Oct-2024,144,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Caseload Forecast Council,Hardware,Nov-2024,144,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Caseload Forecast Council,Hardware,Dec-2024,144,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Caseload Forecast Council,Hardware,Jan-2025,144,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Caseload Forecast Council,Hardware,Feb-2025,144,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Caseload Forecast Council,Hardware,Mar-2025,144,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Washington State Historical Society,Internal Services,Nov-2024,144,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Agriculture,Hardware,Jan-2025,143,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Transportation Improvement Board,Telecom,Aug-2024,142,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Eastern Washington University,Other,Mar-2025,141,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Eastern Washington University,Other,Aug-2024,140,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Natural Resources,Facilities & Power,Nov-2024,140,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Natural Resources,Facilities & Power,Aug-2024,139,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Natural Resources,Facilities & Power,Sep-2024,139,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Natural Resources,Facilities & Power,Jul-2024,138,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Washington Horse Racing Commission,Software,Jul-2024,138,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Bd for Vol Firefighter and Res Off,Telecom,Feb-2025,137,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Bd for Vol Firefighter and Res Off,Telecom,Dec-2024,137,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Governor's Office of Indian Affairs,Telecom,Jan-2025,136,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Bd for Vol Firefighter and Res Off,Telecom,Sep-2024,136,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Bd for Vol Firefighter and Res Off,Telecom,Oct-2024,136,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Bd for Vol Firefighter and Res Off,Telecom,Nov-2024,136,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Bd for Vol Firefighter and Res Off,Telecom,Jan-2025,136,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Bd for Vol Firefighter and Res Off,Telecom,Mar-2025,136,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Supreme Court,Software,Feb-2025,133,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of State LEG Labor Relations,Telecom,Dec-2024,132,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Archaeology & Historic Preservation,Other,Oct-2024,131,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Transportation Commission,Internal Labor,Nov-2024,130,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Transportation Commission,Internal Labor,Dec-2024,130,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Transportation Commission,Internal Labor,Jan-2025,130,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Transportation Commission,Internal Labor,Feb-2025,130,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Transportation Commission,Internal Labor,Mar-2025,130,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
House of Representatives,Telecom,Jul-2024,129,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Legislative Support Services,Hardware,Sep-2024,128,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
WA State Comm on Hispanic Affairs,Software,Aug-2024,128,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
WA ST Criminal Justice Train Comm,Other,Jan-2025,125,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
State Conservation Commission,Software,Nov-2024,122,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Comm on Salaries Elected Officials,Telecom,Sep-2024,122,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Transportation Improvement Board,Software,Oct-2024,120,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
WA State Comm on Hispanic Affairs,Software,Jan-2025,120,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Comm on Salaries Elected Officials,Telecom,Nov-2024,119,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of State LEG Labor Relations,Software,Nov-2024,118,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Independent Investigations,Hardware,Dec-2024,118,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
WA State Comm on Hispanic Affairs,Software,Oct-2024,117,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington State Historical Society,Software,Jan-2025,115,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Energy Facility Site Evaluation Council,Telecom,Mar-2025,113,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Fish and Wildlife,Facilities & Power,Feb-2025,112,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
State Board of Accountancy,Telecom,Mar-2025,112,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
State Board of Accountancy,Telecom,Jan-2025,112,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
State Board of Accountancy,Telecom,Feb-2025,112,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
State Board of Accountancy,Telecom,Dec-2024,112,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Public Disclosure Commission,Other,Jul-2024,112,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Washington Horse Racing Commission,Telecom,Jan-2025,111,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Eastern Washington University,Other,Oct-2024,111,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Liquor and Cannabis Board,Facilities & Power,Aug-2024,110,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Environmental and Land Use Hearings Offi,Other,Sep-2024,110,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Administrative Hearings,Other,Dec-2024,110,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
WA Pollution Liab Insurance Program,Software,Feb-2025,107,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Statute Law Committee,Other,Dec-2024,107,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of State LEG Labor Relations,Telecom,Jan-2025,107,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Independent Investigations,Other,Feb-2025,104,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Other,Nov-2024,104,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Workforce Train & Educ Coord Board,External Labor,Oct-2024,103,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Columbia River Gorge Commission,Other,Sep-2024,102,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Legislative Support Services,Software,Sep-2024,101,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
LEG Evaluation & Account Prog Comm,Telecom,Feb-2025,100,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
State Parks and Recreation Comm,External Labor,Dec-2024,100,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Recreation and Conservation Funding Boar,Outside Services,Jul-2024,100,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Comm on Salaries Elected Officials,Telecom,Dec-2024,100,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
State Board of Accountancy,Hardware,Sep-2024,98,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
State Board of Accountancy,Hardware,Oct-2024,98,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
State Board of Accountancy,Hardware,Nov-2024,98,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
State Board of Accountancy,Hardware,Dec-2024,98,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
State Board of Accountancy,Hardware,Jan-2025,98,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
State Board of Accountancy,Hardware,Feb-2025,98,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
State Board of Accountancy,Hardware,Mar-2025,98,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Puget Sound Partnership,Other,Jul-2024,98,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Washington State Leadership Board,Hardware,Sep-2024,97,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Public Employment Relations Comm,Other,Sep-2024,97,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Transportation Improvement Board,Telecom,Oct-2024,96,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Legislative Support Services,Other,Aug-2024,95,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Joint LEG Audit & Review Committee,Internal Services,Mar-2025,93,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Health,Facilities & Power,Mar-2025,91,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Joint LEG Audit & Review Committee,Internal Services,Nov-2024,91,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Transportation Commission,Other,Aug-2024,91,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Comm on Salaries Elected Officials,Telecom,Mar-2025,91,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Comm on Salaries Elected Officials,Telecom,Feb-2025,91,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington State Arts Commission,Other,Aug-2024,90,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Court of Appeals,Hardware,Aug-2024,89,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Hardware,Sep-2024,88,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Hardware,Oct-2024,88,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Hardware,Nov-2024,88,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Hardware,Dec-2024,88,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Hardware,Jan-2025,88,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Hardware,Feb-2025,88,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Hardware,Mar-2025,88,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Utilities and Transportation Comm,Other,Feb-2025,88,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Comm on Salaries Elected Officials,Telecom,Jan-2025,87,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Legislative Support Services,Telecom,Aug-2024,86,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Transportation Commission,Software,Feb-2025,83,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of the Secretary of State,Facilities & Power,Sep-2024,82,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of the Secretary of State,Facilities & Power,Jan-2025,82,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of the Secretary of State,Facilities & Power,Mar-2025,82,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
East Wash State Historical Society,Other,Aug-2024,81,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Transportation Improvement Board,Telecom,Mar-2025,80,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
County Road Administration Board,Other,Jan-2025,80,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Freight Mobility Strategic Invest,Internal Labor,Jul-2024,80,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Freight Mobility Strategic Invest,Internal Labor,Aug-2024,80,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Freight Mobility Strategic Invest,Internal Labor,Sep-2024,80,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington Horse Racing Commission,Software,Sep-2024,80,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Freight Mobility Strategic Invest,Internal Labor,Oct-2024,80,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Freight Mobility Strategic Invest,Internal Labor,Nov-2024,80,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Insurance Commissioner,External Labor,Feb-2025,80,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
County Road Administration Board,Telecom,Oct-2024,80,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
WA Pollution Liab Insurance Program,Software,Aug-2024,79,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
WA Pollution Liab Insurance Program,Software,Oct-2024,79,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Transportation Improvement Board,Telecom,Dec-2024,79,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Transportation Improvement Board,Telecom,Feb-2025,79,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Transportation Improvement Board,Telecom,Jan-2025,78,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Transportation Improvement Board,Telecom,Nov-2024,78,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
WA ST Comm African-American Affairs,Software,Jul-2024,77,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
WA ST Criminal Justice Train Comm,Telecom,Mar-2025,74,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Public Employment Relations Comm,Other,Jan-2025,74,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Public Employment Relations Comm,Software,Feb-2025,74,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Other,Oct-2024,74,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Lieutenant Governor,Other,Sep-2024,71,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Commission on Judicial Conduct,Outside Services,Oct-2024,71,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington Horse Racing Commission,Telecom,Jul-2024,71,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Eastern Washington University,Other,Dec-2024,70,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Washington State Gambling Comm,External Labor,Nov-2024,69,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Recreation and Conservation Funding Boar,Other,Feb-2025,66,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Court of Appeals,Other,Dec-2024,66,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
"Department of Children, Youth, and Famil",External Labor,Jul-2024,66,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of State LEG Labor Relations,Software,Jul-2024,66,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Military Department,Software,Jan-2025,65,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Central Washington University,Outside Services,Nov-2024,65,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Comm on Salaries Elected Officials,Telecom,Jul-2024,64,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Transportation Improvement Board,Telecom,Sep-2024,63,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Independent Investigations,Outside Services,Jul-2024,62,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of State Treasurer,Hardware,Sep-2024,62,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Economic & Revenue Forecast Council,Internal Services,Mar-2025,62,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Employment Security Department,External Labor,Jul-2024,61,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Senate,Telecom,Mar-2025,61,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Fish and Wildlife,Facilities & Power,Oct-2024,61,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Fish and Wildlife,Facilities & Power,Dec-2024,61,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Economic & Revenue Forecast Council,Internal Services,Sep-2024,61,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Economic & Revenue Forecast Council,Internal Services,Nov-2024,61,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Economic & Revenue Forecast Council,Internal Services,Feb-2025,61,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Economic & Revenue Forecast Council,Internal Services,Dec-2024,61,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Liquor and Cannabis Board,Facilities & Power,Jan-2025,60,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Economic & Revenue Forecast Council,Hardware,Jul-2024,60,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Economic & Revenue Forecast Council,Hardware,Aug-2024,60,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Economic & Revenue Forecast Council,Hardware,Sep-2024,60,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Economic & Revenue Forecast Council,Hardware,Oct-2024,60,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Economic & Revenue Forecast Council,Hardware,Nov-2024,60,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Economic & Revenue Forecast Council,Hardware,Dec-2024,60,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Economic & Revenue Forecast Council,Hardware,Jan-2025,60,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Economic & Revenue Forecast Council,Hardware,Feb-2025,60,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Economic & Revenue Forecast Council,Hardware,Mar-2025,60,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
House of Representatives,Software,Aug-2024,60,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Puget Sound Partnership,Other,Aug-2024,59,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
State Board of Accountancy,Telecom,Oct-2024,59,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Board of Pilotage Commissioners,Internal Services,Dec-2024,58,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Joint Transportation Committee,Internal Services,Feb-2025,58,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Comm on Salaries Elected Officials,Telecom,Oct-2024,58,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
East Wash State Historical Society,Other,Mar-2025,58,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Board of Pilotage Commissioners,Internal Services,Mar-2025,58,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
House of Representatives,Telecom,Sep-2024,57,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Health,External Labor,Sep-2024,56,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
State School for the Blind,Other,Aug-2024,56,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Joint Transportation Committee,Internal Services,Sep-2024,55,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Joint Transportation Committee,Internal Services,Nov-2024,55,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Joint Transportation Committee,Internal Services,Mar-2025,55,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Board of Pilotage Commissioners,Internal Services,Feb-2025,55,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Dept of Services for the Blind,Other,Feb-2025,55,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Public Defense,Hardware,Aug-2024,55,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Recreation and Conservation Funding Boar,Other,Mar-2025,54,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Board of Pilotage Commissioners,Internal Services,Sep-2024,54,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of State LEG Labor Relations,Telecom,Nov-2024,53,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of State LEG Labor Relations,Telecom,Mar-2025,53,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of State LEG Labor Relations,Telecom,Jul-2024,53,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of State LEG Labor Relations,Telecom,Aug-2024,53,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Liquor and Cannabis Board,Facilities & Power,Mar-2025,53,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Transportation Commission,Software,Dec-2024,53,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Board of Pilotage Commissioners,Internal Services,Nov-2024,51,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Environmental and Land Use Hearings Offi,Software,Jul-2024,50,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
House of Representatives,Software,Jan-2025,49,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Board of Indust Insurance Appeals,Other,Aug-2024,47,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Board of Indust Insurance Appeals,Other,Jul-2024,44,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Independent Investigations,Telecom,Feb-2025,43,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
House of Representatives,Software,Sep-2024,43,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Insurance Commissioner,Software,Aug-2024,43,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Board of Indust Insurance Appeals,Internal Services,Dec-2024,43,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Wash Traffic Safety Commission,Other,Jan-2025,42,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Agriculture,Facilities & Power,Mar-2025,42,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Agriculture,Facilities & Power,Feb-2025,42,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Joint Transportation Committee,Internal Services,Jul-2024,42,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Comm on Asian-Pacific Amer Affairs,Hardware,Aug-2024,41,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
WA State Comm on Hispanic Affairs,Hardware,Aug-2024,41,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
WA ST Comm African-American Affairs,Hardware,Aug-2024,41,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
WA State Comm on Hispanic Affairs,Hardware,Jul-2024,41,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
WA ST Comm African-American Affairs,Hardware,Jul-2024,41,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
